crop,product,hindi_crop,hindi_product,kannada_crop,kannada_product,telugu_crop,telugu_product,malayalam_crop,malayalam_product,tamil_crop,tamil_product,marathi_crop,marathi_product,gujarati_crop,gujarati_product,punjabi_crop,punjabi_product,bengali_crop,bengali_product,assamese_crop,assamese_product,odia_crop,odia_product
Pumpkin,Arjuna,कद्दू,अर्जुन,ಕುಂಬಳಕಾಯಿ,ಅರ್ಜುನ,గుమ్మడికాయ,అర్జున,മത്തങ്ങ,അര്ജുന,பரங்கிக்காய்,அர்ஜுந,लाल भोपळा,अर्जुन,કોળું,અર્જુન,ਕੱਦੂ,ਅਰ੍ਜੁਨ,মিষ্টি কুমড়া,অর্জুন,ৰঙালাউ,অৰ্জুন,କଖାରୁ,ଅର୍ଜୁନ
Luffa Angular,Naavi,तोरई,नावी,ಹೀರೆಕಾಯಿ,ನಾವೀ,బీరకాయ,నావీ,പീച്ചിങ്ങ,നാവീ,பீர்க்கங்காய்,நாவீ,दोडका,नावी,તુરિયા,નાવી,ਤੋਰੀ,ਨਾਵੀ,ঝিঙে,নাবী,জিকা,নাৱী,ଜହ୍ନି,ନାଵୀ
Luffa Smooth,ChamCham,चिकनी तोरई,चमचम,ತುಪ್ಪದ ಹೀರೆಕಾಯಿ,ಚಮಚಮ,నేతి బీరకాయ,చమచమ,മിനുസമുള്ള പീച്ചിങ്ങ,ചമചമ,மிருதுவான பீர்க்கங்காய்,சமசம,घोसाळे,चमचम,ગલકા,ચમચમ,ਘੀਆ ਤੋਰੀ,ਚਮਚਮ,ধুন্দুল,চমচম,ভোল,চমচম,ଚିକ୍କଣ ଜହ୍ନି,ଚମଚମ
Luffa Angular,New Lu,तोरई,न्यू लू,ಹೀರೆಕಾಯಿ,ನ್ಯೂ ಲೂ,బీరకాయ,న్యూ లూ,പീച്ചിങ്ങ,ന്യൂ ലൂ,பீர்க்கங்காய்,ந்யூ லூ,दोडका,न्यू लू,તુરિયા,ન્યૂ લૂ,ਤੋਰੀ,ਨ੍ਯੂ ਲੂ,ঝিঙে,ন্যূ লূ,জিকা,ন্যূ লূ,ଜହ୍ନି,ନ୍ଯୂ ଲୂ
Bottle Gourd,Anmol,लौकी,अनमोल,ಸೋರೆಕಾಯಿ,ಅನಮೋಲ,సొరకాయ,అనమోల,ചുരയ്ക്ക,അനമോല,சுரைக்காய்,அநமோல,दुधी भोपळा,अनमोल,દૂધી,અનમોલ,ਲੌਕੀ,ਅਨਮੋਲ,লাউ,অনমোল,জাতি লাও,অনমোল,ଲାଉ,ଅନମୋଲ
Ridge Gourd,Malika,तुरई,मलिका,ಹೀರೆಕಾಯಿ,ಮಲಿಕಾ,బీరకాయ,మలికా,പീച്ചിങ്ങ,മലികാ,பீர்க்கங்காய்,மலிகா,दोडका,मलिका,તુરિયા,મલિકા,ਤੋਰੀ,ਮਲਿਕਾ,ঝিঙে,মলিকা,জিকা,মলিকা,ଜହ୍ନି,ମଲିକା
Okra,Beendiya,भिंडी,बीन्दिया,ಬೆಂಡೆಕಾಯಿ,ಬೀನ್ದಿಯಾ,బెండకాయ,బీన్దియా,വെണ്ടയ്ക്ക,ബീന്ദിയാ,வெண்டைக்காய்,பீந்தியா,भेंडी,बीन्दिया,ભીંડા,બીન્દિયા,ਭਿੰਡੀ,ਬੀਨ੍ਦਿਯਾ,ঢেঁড়স,বীন্দিয়া,ভেণ্ডি,বীন্দিয়া,ଭେଣ୍ଡି,ବୀନ୍ଦିଯା
Bottle Gourd,Aadavan,लौकी,आदवन,ಸೋರೆಕಾಯಿ,ಆದವನ,సొరకాయ,ఆదవన,ചുരയ്ക്ക,ആദവന,சுரைக்காய்,ஆதவந,दुधी भोपळा,आदवन,દૂધી,આદવન,ਲੌਕੀ,ਆਦਵਨ,লাউ,আদবন,জাতি লাও,আদৱন,ଲାଉ,ଆଦଵନ
Tomato,EW 815,टमाटर,ईडब्ल्यू 815,ಟೊಮೇಟೊ,ಈಡಬ್ಲ್ಯೂ 815,టమాటా,ఈడబ్ల్యూ 815,തക്കാളി,ഈഡബ്ല്യൂ 815,தக்காளி,ஈடப்ல்யூ 815,टोमॅटो,ईडब्ल्यू 815,ટામેટા,ઈડબ્લ્યૂ 815,ਟਮਾਟਰ,ਈਡਬ੍ਲ੍ਯੂ 815,টমেটো,ঈডব্ল্যূ 815,বিলাহী,ঈডব্ল্যূ 815,ଟମାଟୋ,ଈଡବ୍ଲ୍ଯୂ 815
Tomato,EW 825,टमाटर,ईडब्ल्यू 825,ಟೊಮೇಟೊ,ಈಡಬ್ಲ್ಯೂ 825,టమాటా,ఈడబ్ల్యూ 825,തക്കാളി,ഈഡബ്ല്യൂ 825,தக்காளி,ஈடப்ல்யூ 825,टोमॅटो,ईडब्ल्यू 825,ટામેટા,ઈડબ્લ્યૂ 825,ਟਮਾਟਰ,ਈਡਬ੍ਲ੍ਯੂ 825,টমেটো,ঈডব্ল্যূ 825,বিলাহী,ঈডব্ল্যূ 825,ଟମାଟୋ,ଈଡବ୍ଲ୍ଯୂ 825
Bottle Gourd,Swikar,लौकी,स्वीकार,ಸೋರೆಕಾಯಿ,ಸ್ವೀಕಾರ,సొరకాయ,స్వీకార,ചുരയ്ക്ക,സ്വീകാര,சுரைக்காய்,ஸ்வீகார,दुधी भोपळा,स्वीकार,દૂધી,સ્વીકાર,ਲੌਕੀ,ਸ੍ਵੀਕਾਰ,লাউ,স্বীকার,জাতি লাও,স্ৱীকাৰ,ଲାଉ,ସ୍ଵୀକାର
Bottle Gourd,Kriyansh,लौकी,क्रियांश,ಸೋರೆಕಾಯಿ,ಕ್ರಿಯಾಂಶ,సొరకాయ,క్రియాంశ,ചുരയ്ക്ക,ക്രിയാംശ,சுரைக்காய்,க்ரியாந்ஶ,दुधी भोपळा,क्रियांश,દૂધી,ક્રિયાંશ,ਲੌਕੀ,ਕ੍ਰਿਯਾਂਸ਼,লাউ,ক্রিয়াংশ,জাতি লাও,ক্ৰিয়াংশ,ଲାଉ,କ୍ରିଯାଂଶ
Bitter Gourd,Maya,करेला,माया,ಹಾಗಲಕಾಯಿ,ಮಾಯಾ,కాకరకాయ,మాయా,പാവയ്ക്ക,മായാ,பாகற்காய்,மாயா,कारले,माया,કારેલા,માયા,ਕਰੇਲਾ,ਮਾਯਾ,করলা,মায়া,কেৰেলা,মায়া,କଲରା,ମାଯା
Ridge Gourd,Naga,तुरई,नागा,ಹೀರೆಕಾಯಿ,ನಾಗಾ,బీరకాయ,నాగా,പീച്ചിങ്ങ,നാഗാ,பீர்க்கங்காய்,நாகா,दोडका,नागा,તુરિયા,નાગા,ਤੋਰੀ,ਨਾਗਾ,ঝিঙে,নাগা,জিকা,নাগা,ଜହ୍ନି,ନାଗା
Ridge Gourd,Rama,तुरई,रामा,ಹೀರೆಕಾಯಿ,ರಾಮಾ,బీరకాయ,రామా,പീച്ചിങ്ങ,രാമാ,பீர்க்கங்காய்,ராமா,दोडका,रामा,તુરિયા,રામા,ਤੋਰੀ,ਰਾਮਾ,ঝিঙে,রামা,জিকা,ৰামা,ଜହ୍ନି,ରାମା
Bottle Gourd,Gadda,लौकी,गड्डा,ಸೋರೆಕಾಯಿ,ಗಡ್ಡಾ,సొరకాయ,గడ్డా,ചുരയ്ക്ക,ഗഡ്ഡാ,சுரைக்காய்,கட்டா,दुधी भोपळा,गड्डा,દૂધી,ગડ્ડા,ਲੌਕੀ,ਗਡ੍ਡਾ,লাউ,গড্ডা,জাতি লাও,গড্ডা,ଲାଉ,ଗଡ୍ଡା
Cucumber,Saira,खीरा,सायरा,ಸೌತೆಕಾಯಿ,ಸಾಯರಾ,దోసకాయ,సాయరా,വെള്ളരി,സായരാ,வெள்ளரி,ஸாயரா,काकडी,सायरा,કાકડી,સાયરા,ਖੀਰਾ,ਸਾਯਰਾ,শসা,সায়রা,তিয়ঁহ,সায়ৰা,କାକୁଡ଼ି,ସାଯରା
Tomato,Shreya,टमाटर,श्रेया,ಟೊಮೇಟೊ,ಶ್ರೇಯಾ,టమాటా,శ్రేయా,തക്കാളി,ശ്രേയാ,தக்காளி,ஶ்ரேயா,टोमॅटो,श्रेया,ટામેટા,શ્રેયા,ਟਮਾਟਰ,ਸ਼੍ਰੇਯਾ,টমেটো,শ্রেয়া,বিলাহী,শ্ৰেয়া,ଟମାଟୋ,ଶ୍ରେଯା
Tomato,Hridhaan,टमाटर,हृदान,ಟೊಮೇಟೊ,ಹೃದಾನ,టమాటా,హృదాన,തക്കാളി,ഹൃദാന,தக்காளி,ஹ்ரிதாந,टोमॅटो,हृदान,ટામેટા,હૃદાન,ਟਮਾਟਰ,ਹ੍ਰਿਦਾਨ,টমেটো,হৃদান,বিলাহী,হৃদান,ଟମାଟୋ,ହୃଦାନ
Tomato,Diwakar,टमाटर,दिवाकर,ಟೊಮೇಟೊ,ದಿವಾಕರ,టమాటా,దివాకర,തക്കാളി,ദിവാകര,தக்காளி,திவாகர,टोमॅटो,दिवाकर,ટામેટા,દિવાકર,ਟਮਾਟਰ,ਦਿਵਾਕਰ,টমেটো,দিবাকর,বিলাহী,দিৱাকৰ,ଟମାଟୋ,ଦିଵାକର
Okra,Sniper,भिंडी,स्नाइपर,ಬೆಂಡೆಕಾಯಿ,ಸ್ನಾಇಪರ,బెండకాయ,స్నాఇపర,വെണ്ടയ്ക്ക,സ്നാഇപര,வெண்டைக்காய்,ஸ்நாஇபர,भेंडी,स्नाइपर,ભીંડા,સ્નાઇપર,ਭਿੰਡੀ,ਸ੍ਨਾਇਪਰ,ঢেঁড়স,স্নাইপর,ভেণ্ডি,স্নাইপৰ,ଭେଣ୍ଡି,ସ୍ନାଇପର
Pumpkin,Leela,कद्दू,लीला,ಕುಂಬಳಕಾಯಿ,ಲೀಲಾ,గుమ్మడికాయ,లీలా,മത്തങ്ങ,ലീലാ,பரங்கிக்காய்,லீலா,लाल भोपळा,लीला,કોળું,લીલા,ਕੱਦੂ,ਲੀਲਾ,মিষ্টি কুমড়া,লীলা,ৰঙালাউ,লীলা,କଖାରୁ,ଲୀଲା
Okra,Chameli,भिंडी,चमेली,ಬೆಂಡೆಕಾಯಿ,ಚಮೇಲೀ,బెండకాయ,చమేలీ,വെണ്ടയ്ക്ക,ചമേലീ,வெண்டைக்காய்,சமேலீ,भेंडी,चमेली,ભીંડા,ચમેલી,ਭਿੰਡੀ,ਚਮੇਲੀ,ঢেঁড়স,চমেলী,ভেণ্ডি,চমেলী,ଭେଣ୍ଡି,ଚମେଲୀ
Yard Long Beans,Vaishnavi,बरबटी,वैष्णवी,ಅಲಸಂದೆ,ವೈಷ್ಣವೀ,అలసంద కాయ,వైష్ణవీ,അച്ചിങ്ങ പയർ,വൈഷ്ണവീ,காராமணிக்காய்,வைஷ்ணவீ,चवळी शेंगा,वैष्णवी,ચોળી,વૈષ્ણવી,ਲੋਬੀਆ ਫਲੀ,ਵੈਸ਼੍ਣਵੀ,বরবটি,বৈষ্ণবী,উৰহী,ৱৈষ্ণৱী,ଝୁଡ଼ଙ୍ଗ,ଵୈଷ୍ଣଵୀ
Bitter Gourd,Tuku,करेला,टुकु,ಹಾಗಲಕಾಯಿ,ಟುಕು,కాకరకాయ,టుకు,പാവയ്ക്ക,ടുകു,பாகற்காய்,டுகு,कारले,टुकु,કારેલા,ટુકુ,ਕਰੇਲਾ,ਟੁਕੁ,করলা,টুকু,কেৰেলা,টুকু,କଲରା,ଟୁକୁ
Bitter Gourd,Aaliya,करेला,आलिया,ಹಾಗಲಕಾಯಿ,ಆಲಿಯಾ,కాకరకాయ,ఆలియా,പാവയ്ക്ക,ആലിയാ,பாகற்காய்,ஆலியா,कारले,आलिया,કારેલા,આલિયા,ਕਰੇਲਾ,ਆਲਿਯਾ,করলা,আলিয়া,কেৰেলা,আলিয়া,କଲରା,ଆଲିଯା
Sweet Corn,Golden Cob,स्वीट कॉर्न,गोल्डन कॉब,ಸಿಹಿ ಜೋಳ,ಗೋಲ್ಡನ ಕಾಬ,తీపి మొక్కజొన్న,గోల్డన కాబ,മധുര ചോളം,ഗോല്ഡന കാബ,இனிப்பு சோளம்,கோல்டந காப,स्वीट कॉर्न,गोल्डन कॉब,મીઠી મકાઈ,ગોલ્ડન કાબ,ਮਿੱਠੀ ਮੱਕੀ,ਗੋਲ੍ਡਨ ਕਾਬ,মিষ্টি ভুট্টা,গোল্ডন কাব,মিঠা মাকৈ,গোল্ডন কাব,ମିଠା ମକା,ଗୋଲ୍ଡନ କାବ
Cabbage,Chanda,पत्तागोभी,चंदा,ಎಲೆಕೋಸು,ಚಂದಾ,క్యాబేజీ,చందా,കാബേജ്,ചംദാ,முட்டைக்கோஸ்,சந்தா,कोबी,चंदा,કોબીજ,ચંદા,ਬੰਦ ਗੋਭੀ,ਚਂਦਾ,বাঁধাকপি,চংদা,বন্ধাকবি,চংদা,ବନ୍ଧାକୋବି,ଚଂଦା
Cabbage,Avanish,पत्तागोभी,अवनीश,ಎಲೆಕೋಸು,ಅವನೀಶ,క్యాబేజీ,అవనీశ,കാബേജ്,അവനീശ,முட்டைக்கோஸ்,அவநீஶ,कोबी,अवनीश,કોબીજ,અવનીશ,ਬੰਦ ਗੋਭੀ,ਅਵਨੀਸ਼,বাঁধাকপি,অবনীশ,বন্ধাকবি,অৱনীশ,ବନ୍ଧାକୋବି,ଅଵନୀଶ
Onion,Prema,प्याज,प्रेमा,ಈರುಳ್ಳಿ,ಪ್ರೇಮಾ,ఉల్లిపాయ,ప్రేమా,സവാള,പ്രേമാ,வெங்காயம்,ப்ரேமா,कांदा,प्रेमा,ડુંગળી,પ્રેમા,ਪਿਆਜ਼,ਪ੍ਰੇਮਾ,পেঁয়াজ,প্রেমা,পিয়াঁজ,প্ৰেমা,ପିଆଜ,ପ୍ରେମା
Bitter Gourd,Pakhi,करेला,पाखी,ಹಾಗಲಕಾಯಿ,ಪಾಖೀ,కాకరకాయ,పాఖీ,പാവയ്ക്ക,പാഖീ,பாகற்காய்,பாகீ,कारले,पाखी,કારેલા,પાખી,ਕਰੇਲਾ,ਪਾਖੀ,করলা,পাখী,কেৰেলা,পাখী,କଲରା,ପାଖୀ
Bitter Gourd,Nitika,करेला,नितिका,ಹಾಗಲಕಾಯಿ,ನಿತಿಕಾ,కాకరకాయ,నితికా,പാവയ്ക്ക,നിതികാ,பாகற்காய்,நிதிகா,कारले,नितिका,કારેલા,નિતિકા,ਕਰੇਲਾ,ਨਿਤਿਕਾ,করলা,নিতিকা,কেৰেলা,নিতিকা,କଲରା,ନିତିକା
Cabbage,Pulkit,पत्तागोभी,पुलकित,ಎಲೆಕೋಸು,ಪುಲಕಿತ,క్యాబేజీ,పులకిత,കാബേജ്,പുലകിത,முட்டைக்கோஸ்,புலகித,कोबी,पुलकित,કોબીજ,પુલકિત,ਬੰਦ ਗੋਭੀ,ਪੁਲਕਿਤ,বাঁধাকপি,পুলকিত,বন্ধাকবি,পুলকিত,ବନ୍ଧାକୋବି,ପୁଲକିତ
Bitter Gourd,Pia,करेला,पिया,ಹಾಗಲಕಾಯಿ,ಪಿಯಾ,కాకరకాయ,పియా,പാവയ്ക്ക,പിയാ,பாகற்காய்,பியா,कारले,पिया,કારેલા,પિયા,ਕਰੇਲਾ,ਪਿਯਾ,করলা,পিয়া,কেৰেলা,পিয়া,କଲରା,ପିଯା
Bitter Gourd,Shifu,करेला,शिफू,ಹಾಗಲಕಾಯಿ,ಶಿಫೂ,కాకరకాయ,శిఫూ,പാവയ്ക്ക,ശിഫൂ,பாகற்காய்,ஶிபூ,कारले,शिफू,કારેલા,શિફૂ,ਕਰੇਲਾ,ਸ਼ਿਫੂ,করলা,শিফূ,কেৰেলা,শিফূ,କଲରା,ଶିଫୂ
Cabbage,Green Top,पत्तागोभी,ग्रीन टॉप,ಎಲೆಕೋಸು,ಗ್ರೀನ ಟಾಪ,క్యాబేజీ,గ్రీన టాప,കാബേജ്,ഗ്രീന ടാപ,முட்டைக்கோஸ்,க்ரீந டாப,कोबी,ग्रीन टॉप,કોબીજ,ગ્રીન ટાપ,ਬੰਦ ਗੋਭੀ,ਗ੍ਰੀਨ ਟਾਪ,বাঁধাকপি,গ্রীন টাপ,বন্ধাকবি,গ্ৰীন টাপ,ବନ୍ଧାକୋବି,ଗ୍ରୀନ ଟାପ
Bitter Gourd,Pihu,करेला,पीहू,ಹಾಗಲಕಾಯಿ,ಪೀಹೂ,కాకరకాయ,పీహూ,പാവയ്ക്ക,പീഹൂ,பாகற்காய்,பீஹூ,कारले,पीहू,કારેલા,પીહૂ,ਕਰੇਲਾ,ਪੀਹੂ,করলা,পীহূ,কেৰেলা,পীহূ,କଲରା,ପୀହୂ
Bitter Gourd,Yuvan,करेला,युवान,ಹಾಗಲಕಾಯಿ,ಯುವಾನ,కాకరకాయ,యువాన,പാവയ്ക്ക,യുവാന,பாகற்காய்,யுவாந,कारले,युवान,કારેલા,યુવાન,ਕਰੇਲਾ,ਯੁਵਾਨ,করলা,যুবান,কেৰেলা,যুৱান,କଲରା,ଯୁଵାନ
Cabbage,Manvit,पत्तागोभी,मानवित,ಎಲೆಕೋಸು,ಮಾನವಿತ,క్యాబేజీ,మానవిత,കാബേജ്,മാനവിത,முட்டைக்கோஸ்,மாநவித,कोबी,मानवित,કોબીજ,માનવિત,ਬੰਦ ਗੋਭੀ,ਮਾਨਵਿਤ,বাঁধাকপি,মানবিত,বন্ধাকবি,মানৱিত,ବନ୍ଧାକୋବି,ମାନଵିତ
Bitter Gourd,Chhaya,करेला,छाया,ಹಾಗಲಕಾಯಿ,ಛಾಯಾ,కాకరకాయ,ఛాయా,പാവയ്ക്ക,ഛായാ,பாகற்காய்,சாயா,कारले,छाया,કારેલા,છાયા,ਕਰੇਲਾ,ਛਾਯਾ,করলা,ছায়া,কেৰেলা,ছায়া,କଲରା,ଛାଯା
Wax Gourd,Suguna,पेठा,सुगुणा,ಬೂದುಗುಂಬಳ,ಸುಗುಣಾ,బూడిద గుమ్మడికాయ,సుగుణా,കുമ്പളങ്ങ,സുഗുണാ,வெண் பூசணி,ஸுகுணா,कोहळा,सुगुणा,ભૂરું કોળું,સુગુણા,ਪੇਠਾ,ਸੁਗੁਣਾ,চালকুমড়া,সুগুণা,কোমোৰা,সুগুণা,ପାଣିକଖାରୁ,ସୁଗୁଣା
Onion,Prapti,प्याज,प्राप्ति,ಈರುಳ್ಳಿ,ಪ್ರಾಪ್ತಿ,ఉల్లిపాయ,ప్రాప్తి,സവാള,പ്രാപ്തി,வெங்காயம்,ப்ராப்தி,कांदा,प्राप्ति,ડુંગળી,પ્રાપ્તિ,ਪਿਆਜ਼,ਪ੍ਰਾਪ੍ਤਿ,পেঁয়াজ,প্রাপ্তি,পিয়াঁজ,প্ৰাপ্তি,ପିଆଜ,ପ୍ରାପ୍ତି
Onion,Prerna,प्याज,प्रेरणा,ಈರುಳ್ಳಿ,ಪ್ರೇರಣಾ,ఉల్లిపాయ,ప్రేరణా,സവാള,പ്രേരണാ,வெங்காயம்,ப்ரேரணா,कांदा,प्रेरणा,ડુંગળી,પ્રેરણા,ਪਿਆਜ਼,ਪ੍ਰੇਰਣਾ,পেঁয়াজ,প্রেরণা,পিয়াঁজ,প্ৰেৰণা,ପିଆଜ,ପ୍ରେରଣା
Onion,Prabhas,प्याज,प्रभास,ಈರುಳ್ಳಿ,ಪ್ರಭಾಸ,ఉల్లిపాయ,ప్రభాస,സവാള,പ്രഭാസ,வெங்காயம்,ப்ரபாஸ,कांदा,प्रभास,ડુંગળી,પ્રભાસ,ਪਿਆਜ਼,ਪ੍ਰਭਾਸ,পেঁয়াজ,প্রভাস,পিয়াঁজ,প্ৰভাস,ପିଆଜ,ପ୍ରଭାସ
Wax Gourd,Suruchi,पेठा,सुरुचि,ಬೂದುಗುಂಬಳ,ಸುರುಚಿ,బూడిద గుమ్మడికాయ,సురుచి,കുമ്പളങ്ങ,സുരുചി,வெண் பூசணி,ஸுருசி,कोहळा,सुरुचि,ભૂરું કોળું,સુરુચિ,ਪੇਠਾ,ਸੁਰੁਚਿ,চালকুমড়া,সুরুচি,কোমোৰা,সুৰুচি,ପାଣିକଖାରୁ,ସୁରୁଚି
Okra,Marshal,भिंडी,मार्शल,ಬೆಂಡೆಕಾಯಿ,ಮಾರ್ಶಲ,బెండకాయ,మార్శల,വെണ്ടയ്ക്ക,മാര്ശല,வெண்டைக்காய்,மார்ஶல,भेंडी,मार्शल,ભીંડા,માર્શલ,ਭਿੰਡੀ,ਮਾਰ੍ਸ਼ਲ,ঢেঁড়স,মার্শল,ভেণ্ডি,মাৰ্শল,ଭେଣ୍ଡି,ମାର୍ଶଲ
Okra,Commando,भिंडी,कमांडो,ಬೆಂಡೆಕಾಯಿ,ಕಮಾಂಡೋ,బెండకాయ,కమాండో,വെണ്ടയ്ക്ക,കമാംഡോ,வெண்டைக்காய்,கமாண்டோ,भेंडी,कमांडो,ભીંડા,કમાંડો,ਭਿੰਡੀ,ਕਮਾਂਡੋ,ঢেঁড়স,কমাংডো,ভেণ্ডি,কমাংডো,ଭେଣ୍ଡି,କମାଂଡୋ
Okra,Mukti,भिंडी,मुक्ति,ಬೆಂಡೆಕಾಯಿ,ಮುಕ್ತಿ,బెండకాయ,ముక్తి,വെണ്ടയ്ക്ക,മുക്തി,வெண்டைக்காய்,முக்தி,भेंडी,मुक्ति,ભીંડા,મુક્તિ,ਭਿੰਡੀ,ਮੁਕ੍ਤਿ,ঢেঁড়স,মুক্তি,ভেণ্ডি,মুক্তি,ଭେଣ୍ଡି,ମୁକ୍ତି
Okra,Admiral,भिंडी,एडमिरल,ಬೆಂಡೆಕಾಯಿ,ಏಡಮಿರಲ,బెండకాయ,ఏడమిరల,വെണ്ടയ്ക്ക,ഏഡമിരല,வெண்டைக்காய்,ஏடமிரல,भेंडी,एडमिरल,ભીંડા,એડમિરલ,ਭਿੰਡੀ,ਏਡਮਿਰਲ,ঢেঁড়স,এডমিরল,ভেণ্ডি,এডমিৰল,ଭେଣ୍ଡି,ଏଡମିରଲ
Okra,Kirti,भिंडी,कीर्ति,ಬೆಂಡೆಕಾಯಿ,ಕೀರ್ತಿ,బెండకాయ,కీర్తి,വെണ്ടയ്ക്ക,കീര്തി,வெண்டைக்காய்,கீர்தி,भेंडी,कीर्ति,ભીંડા,કીર્તિ,ਭਿੰਡੀ,ਕੀਰ੍ਤਿ,ঢেঁড়স,কীর্তি,ভেণ্ডি,কীৰ্তি,ଭେଣ୍ଡି,କୀର୍ତି
Okra,Brigadier,भिंडी,ब्रिगेडियर,ಬೆಂಡೆಕಾಯಿ,ಬ್ರಿಗೇಡಿಯರ,బెండకాయ,బ్రిగేడియర,വെണ്ടയ്ക്ക,ബ്രിഗേഡിയര,வெண்டைக்காய்,ப்ரிகேடியர,भेंडी,ब्रिगेडियर,ભીંડા,બ્રિગેડિયર,ਭਿੰਡੀ,ਬ੍ਰਿਗੇਡਿਯਰ,ঢেঁড়স,ব্রিগেডিয়র,ভেণ্ডি,ব্ৰিগেডিয়ৰ,ଭେଣ୍ଡି,ବ୍ରିଗେଡିଯର
